2,00,00,Pendulum,1
0,00,00,Cross,0
2,00,00,Cross,1
1,00,00,Cross,1
1,00,00,Pendulum,1
0,00,00,Pendulum,1
2,00,00,Pendulum,1
0,00,00,Cross,0
2,00,00,Cross,1
1,00,00,Cross,1
1,00,00,Pendulum,1
0,00,00,Pendulum,1
0,00,00,Cross,1
1,00,00,Pendulum,1
0,00,00,Pendulum,1
1,00,00,Cross,1
2,00,00,Cross,1
2,00,00,Pendulum,1
2,00,00,Pendulum,1
0,00,00,Cross,0
2,00,00,Cross,1
1,00,00,Cross,1
1,00,00,Pendulum,1
0,00,00,Pendulum,1
0,00,00,Cross,1
1,00,00,Pendulum,1
0,00,00,Pendulum,1
1,00,00,Cross,1
2,00,00,Cross,1
2,00,00,Pendulum,1
0,00,00,Pendulum,1
1,00,00,Pendulum,1
1,00,00,Cross,1
2,00,00,Pendulum,1
2,00,00,Cross,1
0,00,00,Cross,1
1,00,1,00,0
0,00,3,00,1
2,00,3,00,1
2,00,1,00,1
0,00,1,00,0
1,00,3,00,0
1,00,00,Cross,1
2,00,00,Cross,1
0,00,00,Pendulum,1
0,00,00,Cross,1
1,00,00,Pendulum,1
2,00,00,Pendulum,1
1,00,00,Cross,1
2,00,00,Cross,1
0,00,00,Pendulum,1
0,00,00,Cross,1
1,00,00,Pendulum,1
2,00,00,Pendulum,1
2,00,00,Cross,1
0,00,00,Pendulum,1
1,00,00,Pendulum,1
2,00,00,Pendulum,1
0,00,00,Cross,1
1,00,00,Cross,1
